Epoch,Ep_Reward,Cost
0.0,6001.004040956135,-252822.83502975464
1.0,7473.428876002736,-263122.37650517304
2.0,-450.82176318353754,-7698.360351792761
3.0,1366.4427300454,-42485.972802326614
4.0,9596.967790542436,-301437.3807686603
5.0,7817.521079870637,-234863.4376760091
6.0,7472.788370324267,-212499.1155232004
7.0,6265.872021947626,-172540.04443786584
8.0,-618.0158554090252,-1008.4893924295868
9.0,2790.4089342489824,-90992.64014275129
10.0,8856.060190612701,-331392.0364736017
11.0,4882.83855097262,-111880.76779551995
12.0,5339.319048765205,-121935.74571679022
13.0,4460.009541482788,-85343.42576086785
14.0,7320.591514573808,-343551.7793716056
15.0,4440.579875931076,-127734.5148754389
16.0,2180.967837095526,-35415.40517949164
17.0,2148.833341480423,-35609.867166103715
18.0,4698.824742357594,-128557.39174544488
19.0,1196.4514658283401,-22963.321606867485
20.0,6694.460336989027,-324827.9245919963
21.0,6009.534949922054,-278822.0096198834
22.0,7848.77545772997,-402958.8153976342
23.0,10759.007676704781,-368223.22306037875
24.0,7642.521522112636,-429390.84450518846
25.0,4470.290557156293,-176329.6148854994
26.0,5716.958702539259,-265219.77994448645
27.0,9682.36461612458,-306401.0604103238
28.0,2614.702452219201,-27533.114300562786
29.0,6932.121809917434,-279385.629942802
30.0,4756.325460975364,-208817.5863512854
31.0,12097.319150474123,-363337.86868726776
32.0,9640.438055828507,-321282.4092198198
33.0,13567.786543923277,-420616.44465012674
34.0,13251.216030429892,-420363.22485267423
35.0,11742.618929296788,-364977.50774811057
36.0,6533.760234771881,-210174.2678396781
37.0,7783.130839326563,-251130.51529346575
38.0,13491.859876277284,-375556.8211478243
39.0,6191.964008432906,-122586.4801050197
40.0,10474.765188113179,-306069.619262581
41.0,1839.5423284208134,-74496.05167883671
42.0,-578.9674064106885,-66373.94738739046
43.0,-117.27799208737684,-51191.147401353344
44.0,7371.026706539862,-222366.17528686905
45.0,7238.014675462337,-224994.6630494612
46.0,470.4612282567082,-36819.91481445843
