Epoch,Ep_Reward,Cost
0.0,22469.274565501244,-1912413.268664417
1.0,71218.05426135326,-5198495.691136612
2.0,70049.15659704334,-4725272.382260522
3.0,60925.46512612249,-4059632.7342655375
4.0,76073.962851312,-5508557.88095038
5.0,75275.78891720128,-5626654.542730613
6.0,72745.42861532098,-5316653.720888861
7.0,73081.16961316492,-5627286.093902605
8.0,70262.50779276587,-5323065.964565331
9.0,69318.23196990776,-5024131.999679222
10.0,73409.31497800963,-5471804.562460158
11.0,18301.190588890076,-1029799.6758438346
12.0,51056.329719747184,-3308480.695630868
13.0,44456.87902964026,-3107992.7695276695
14.0,49814.460354415816,-2763803.0666051577
15.0,7086.842348809072,-251912.8949429321
16.0,43572.57443356552,-3132844.960346826
17.0,54643.58185480295,-3362646.9277431346
18.0,34952.40074328247,-2041948.410984331
19.0,11667.49839944498,-196775.89833232152
20.0,45563.49214697013,-3074139.012334579
21.0,-2908.052497653088,-196333.70722940628
22.0,45.94183881387397,-133316.49343848947
23.0,2289.170615775941,-111550.24068778663
24.0,278.0343408638752,-219253.0070197853
25.0,6307.926232969989,-278899.9801440641
26.0,3160.391045356015,-208890.06646053027
27.0,829.266186478121,-21143.028887920842
28.0,-871.9422478028098,-215330.23061727936
29.0,7962.871641881327,-288433.5805407075
30.0,1869.7859588855245,-217083.14616719817
31.0,673.2929487366159,-110506.86114626372
32.0,6103.554580137285,-304258.3442529213
33.0,34055.760282531664,-1293661.8650628647
34.0,46774.55677822881,-2181671.2092485563
35.0,46365.285660735964,-2120299.3679273664
36.0,10108.003602110135,-167704.29603709112
37.0,8907.10747077239,-356103.4335470237
38.0,47067.85104757066,-2026036.366837577
39.0,81.76974703289801,-22806.34895891759
40.0,38790.513367153326,-1730867.1381934239
41.0,50234.409488427664,-3383607.9106983803
42.0,55979.70480080803,-3479291.0296763084
43.0,52480.62225279744,-3378396.735086163
44.0,58381.30529641909,-3572599.549494864
45.0,21845.184792395536,-3499888.9270585827
46.0,26359.241925139217,-3261837.639745582
47.0,50436.82576861644,-2978045.9667225373
48.0,51752.06383407749,-3445464.506574599
49.0,53933.01133209439,-3005828.7601319808
50.0,53260.25230975902,-3287420.9681992168
51.0,18463.0352597866,-1379872.6528824859
52.0,35780.617388815575,-2223242.0108749033
53.0,21069.2892279406,-3750944.5130954953
54.0,-1739.8441127181861,-388598.0074939705
55.0,54734.634038934215,-3753378.6899003554
56.0,58664.14694932491,-4030050.4885670017
57.0,42725.29469781686,-2756568.062377406
58.0,28181.18942557925,-4109599.0650544
59.0,62525.6725107652,-3993514.633130403
60.0,64725.97590257262,-4449008.181241539
61.0,1857.914843533249,-92777.382692609
62.0,-2003.8619105767912,-237926.62405153678
63.0,3571.600344560711,-135609.74474471083
64.0,-39333.359058081674,-6080.986818541307
65.0,-2196.09247306843,-246700.0513376685
66.0,2187.253043571001,-156436.36420592794
67.0,-12995.866613567287,-337802.16013270145
68.0,-10738.971158542266,-392314.2667683649
69.0,2986.1500044621994,-174417.58381030266
70.0,-2464.436936603954,-188783.18559297372
71.0,44605.23442056428,-2737366.6837498522
72.0,50458.009653027075,-3204815.786922612
73.0,43030.7127835322,-2598762.327857659
74.0,41626.122457432204,-2544802.863612391
75.0,49934.76410679787,-3245857.916319047
76.0,46457.91420484428,-3002941.4086243296
77.0,41709.05036409802,-2638023.9049214814
78.0,57503.37994744536,-3727082.8976239646
79.0,40919.54282616797,-2452816.4284098656
80.0,52354.42498435198,-3374488.329996231
81.0,16889.183362699023,-646318.6497737212
82.0,-7526.344615145482,-109396.3087834536
83.0,17740.449584491922,-624499.3074982032
84.0,-10609.221183303991,-55727.364003412695
85.0,-6230.341474750295,-19192.22208336954
86.0,-10951.15940345241,-68928.21279656039
87.0,14916.110720157192,-647735.9767137818
88.0,14939.99257116483,-611284.2822379326
89.0,18709.073409891265,-615713.7376014576
90.0,16082.964370125283,-557102.3136433575
91.0,67997.3035322216,-5016962.331130393
92.0,65935.99466059665,-4782261.810823568
93.0,67632.85461182543,-4660914.314126382
94.0,44245.65255717003,-2669753.9194560656
