Epoch,Ep_Reward,Cost
0.0,-18873.926665131563,8212.986314480215
1.0,-4357.378703735154,-16611.865044568745
2.0,-8773.950443997886,-7037.367080492532
3.0,-4910.5674510753615,-11046.76979961622
4.0,-8338.222525949015,-5354.332571845367
5.0,-6117.683698621934,-9046.02996992004
6.0,-10735.342234495978,-5150.260090451102
7.0,-7740.239137311206,-9083.690536324168
8.0,-7032.81022597311,-11902.972071473765
9.0,-5269.265888019974,-7879.825999261159
10.0,-2532.398869515324,-7995.199508727025
11.0,-25488.031148474598,7686.327924274035
12.0,-28900.431529986177,8152.5116705383525
13.0,-18177.82969643802,4633.3564184074085
14.0,-25594.87363784134,6088.193823725557
15.0,-6040.919524405727,487.9140501514604
16.0,-25836.622095314917,8185.887142202262
17.0,-27184.853730796152,10078.6027303521
18.0,-1572.9341784871303,-72.36868481923689
19.0,-2539.8851869430982,407.8141470650049
20.0,-22501.274137386557,6821.758451021981
21.0,-655.1801158480563,-2889.722371992869
22.0,-1273.7985658754442,-2393.9238262188983
23.0,-451.7928162549775,-4701.364071732662
24.0,-1115.9296385297955,-2802.047988854388
25.0,-1197.610520533988,-1894.3590173453201
26.0,-643.6642743809002,-3979.2377270743123
27.0,-991.3603258376962,-5134.639797953128
28.0,-1849.8667731212092,-1789.0082253118287
29.0,-802.948701115523,-5217.983466257498
30.0,-753.9851089987385,-5798.013222142476
31.0,-1979.3676793121942,-541.7566393946441
32.0,-1182.2632285123968,-325.0389998536057
33.0,-2258.3223060705673,-2461.6674471275073
34.0,-1162.3715298013824,-525.335741039352
35.0,-1904.0254907606825,-2931.6601939675784
36.0,-1936.8052005154204,107.70883439462696
37.0,-1089.1522400750343,-660.5512438094383
38.0,-1225.5465596477713,-311.4737411357844
39.0,-2008.025318412714,-61.17760479555905
40.0,-479.89295347100153,-2066.5933714590255
41.0,-3702.0060622899273,-10303.403229899603
42.0,-7298.121089863246,1810.8910358104645
43.0,-6779.883962936362,-618.9079263970348
44.0,-5771.739151918577,1585.6362353473842
45.0,-5629.218632368247,-570.8851740913244
46.0,-6461.171790046878,-3364.5833561606173
47.0,-5973.532507432281,-2603.6296414239873
48.0,-7624.57162956059,-531.6264343897979
49.0,-6259.283697176905,-304.20371713103077
50.0,-6687.046274936644,-3340.99825149226
51.0,-2709.6897136571497,-29258.569802259924
52.0,-2637.972108353296,-27530.380213741613
53.0,-2650.85450406168,-28950.798797933257
54.0,-2189.699960278206,-28485.43634853971
55.0,-2600.513696237721,-26530.074606630045
56.0,-2979.186738050668,-28892.522247246125
57.0,-2508.731620548967,-26152.907882095045
58.0,-2298.0090087380318,-27842.694853196022
59.0,-2472.3716831294214,-27414.233473049713
60.0,-2349.7764270928697,-26296.9552276994
61.0,-2896.2573339995834,-11272.463934377362
62.0,-3723.8094695580057,-12764.495324026131
63.0,-2735.785591881569,-9284.280478194543
64.0,-2719.2853121887592,-9694.901889310426
65.0,-3225.8749397761608,-12829.753462298031
66.0,-2883.824985948893,-10558.264539925372
67.0,-2995.7720103764673,-11596.12073694761
68.0,-3505.508839476903,-12344.806799804152
69.0,-3801.565066175611,-13565.71259609485
70.0,-3686.5939813105592,-13291.450867110017
71.0,-16054.902276833187,-22131.81468028783
72.0,-10174.763461165865,-24780.120115722857
73.0,-9812.72783516216,-12101.44095874035
74.0,-17745.95474920098,-26085.848031920304
75.0,-5904.890399649118,-13335.802574124864
76.0,-1760.0926611788718,888.6086873249869
77.0,-10789.893653767314,-13356.704919837073
78.0,-3910.712286000614,-2456.962299171696
79.0,-12348.043940251404,-29461.38305853717
80.0,-12738.939975549389,-31055.36263173466
81.0,-3685.734592825903,-22593.406150034498
82.0,-1522.1772767832995,-6643.59921464532
83.0,-826.3805026187069,-6169.838085320874
84.0,-2356.7482993471795,-18530.895623816534
85.0,-3600.9544372811647,-8293.66113918459
86.0,-619.3197060638684,-1226.877470438882
87.0,-1537.6917041410513,-10575.960259668778
88.0,-545.2372666731776,-885.8315233118344
89.0,-1169.2023503149285,-7186.021478712327
90.0,-2398.985485663554,-10889.576283121578
91.0,-14612.260014698615,-26399.936331905872
92.0,-2306.537506868008,-29172.56873364455
93.0,-1316.1423107181,-30642.123951139423
94.0,-1819.186742021929,-30121.165076059027
95.0,-1972.0026586161107,-30303.611820567254
96.0,-1907.3923724778558,-29856.039762714252
97.0,-1634.7186269861288,-30132.668851542367
98.0,-1757.5975377850998,-29540.86555446654
99.0,-14783.40446230666,-27634.936441920236
100.0,-1387.748455120471,-30679.663979862813
101.0,-488.9209637217737,-43382.6545681835
102.0,-546.9178354929411,-43846.216760914554
103.0,-1327.9776541356882,-43240.02264809752
104.0,-692.7784147538674,-43393.7126182128
105.0,-659.2754560003673,-42904.25052391804
106.0,-869.8733101739525,-43314.87175944994
107.0,-737.3636884476429,-44077.215606383
108.0,-622.6471997126545,-43811.143961519505
109.0,-724.1545353809503,-44502.394797874134
110.0,-552.9166600636144,-43654.39814973527
111.0,-3148.749205063055,-29252.997731007374
112.0,-4704.699406433196,-27620.917818257567
113.0,-4320.450973227595,-27089.891418427054
114.0,-4479.048289570666,-26390.336694027243
115.0,-4456.582649364562,-26058.863036260627
116.0,-4739.371489169999,-27810.552753491156
117.0,-4824.488611594899,-27833.380284659826
118.0,-4415.25489609439,-27562.040293954575
119.0,-4510.754766545214,-26950.379125164727
120.0,-4521.249969072195,-27260.097090180017
121.0,-4612.439796352715,-27210.540919967054
122.0,-4553.999233876134,-27131.050291052223
123.0,-4343.542054145535,-27793.54007326748
124.0,-4672.095086917309,-27651.655103234876
125.0,-4777.0928971823605,-27512.742605518684
126.0,-3651.3511323794196,-28045.044177659605
127.0,-4746.4825900112855,-27399.574497189453
128.0,-4016.025495115406,-23607.743527996532
129.0,-4619.045512566539,-27505.71377612081
130.0,-4698.912722374427,-27565.216338332997
131.0,-20799.841927603524,-11466.317902096871
132.0,-18795.347841769013,-8310.729596437033
133.0,-21209.822690392433,-10917.707689005449
134.0,-20599.365870002155,-10874.330458876826
135.0,-20939.988013195627,-10717.461826278455
136.0,-20732.662797617308,-10425.935819714474
137.0,-20615.868072572484,-10633.850137340047
138.0,-21326.315792073037,-10905.21232589828
139.0,-16528.55542252031,-15430.663813728155
140.0,-21298.879260198508,-10824.65792695184
141.0,-831.7485927169176,-1045.9527707148898
142.0,-1000.0860598795674,-2894.0867973240574
143.0,-1227.8878230336613,-4000.0312906711415
144.0,-1116.4894101369546,-1962.161542694799
145.0,-1042.3870347994,-2244.256119605384
146.0,-1237.3374559072222,-2779.7268056605417
147.0,-1148.3103794601238,-2511.6287550423417
148.0,-1049.77806207175,-2427.1505406997385
149.0,-924.0386242114982,-867.7733288582027
150.0,-985.5296074144386,-2195.4396345955497
151.0,-2104.2320830025296,-29870.664219662132
152.0,-1975.9300880721316,-29243.25586717302
153.0,-2214.631907815916,-28896.965463411932
154.0,-1653.5072103326434,-30281.041941300064
155.0,-1926.2239530460795,-30500.70271720006
156.0,-2281.6765823367127,-29284.920282372903
157.0,-1674.7548732983134,-30193.40147275158
158.0,-1916.0595553405374,-29964.20019270565
159.0,-1129.0678719363773,-30266.327167104348
160.0,-1914.2435524431003,-29292.394617223465
161.0,-640.8476729885376,-31592.31496978323
162.0,-718.2226550354451,-30457.250772165182
163.0,-701.9992819325053,-31497.020407546806
164.0,-616.2274263719211,-30446.735756646296
165.0,-908.5137980432021,-30624.504381573282
166.0,-921.3623895384203,-30440.19721685602
167.0,-863.1747187578679,-31538.424947526
168.0,-989.2217133370751,-30506.23877830019
169.0,-544.5731380636319,-31289.148264268966
170.0,-769.4548331510417,-30519.5984172153
171.0,-7389.427007164745,-31902.878181504573
172.0,-7111.413364904493,-33018.46708265824
173.0,-7562.659710671176,-32578.10590317482
174.0,-7304.512620237678,-32214.391930759728
175.0,-7581.771532210277,-32187.71681258422
176.0,-7203.346643585932,-32794.90386669595
177.0,-7197.272858668137,-32533.766152614597
178.0,-7463.833793556873,-32734.80324169144
179.0,-7152.99686390893,-32101.88156751864
180.0,-7035.735336444871,-32558.0139864941
181.0,-11845.111140674666,-33041.65469204499
182.0,-11327.869905284933,-32916.15505728475
183.0,-12553.221108300082,-32684.61740180171
184.0,-12431.820573125457,-31822.419155659714
185.0,-12278.080414229478,-32132.17980986421
186.0,-12441.997407180828,-32404.65911873153
187.0,-12491.37682442192,-32670.965510295016
188.0,-12167.276748603605,-32129.491411048562
189.0,-12494.133086731903,-31803.95169121999
190.0,-12391.209729143482,-32827.61786172057
191.0,-11713.978170993058,-32913.15082899482
192.0,-11771.168169563756,-33324.432682333085
193.0,-11671.573191089268,-33327.65198528892
194.0,-12064.331690933972,-32351.626089289657
195.0,-11877.851697886746,-33194.545453123515
196.0,-11683.709773701392,-32496.071100572524
197.0,-11530.259868814703,-32825.137030504804
198.0,-11705.605342130015,-33616.25142724163
199.0,-12060.899192229499,-32157.701031048247
200.0,-11907.18734035626,-33212.08222181581
201.0,-1925.0208702817877,-11148.321677194299
202.0,-2719.581876982419,-15443.79948103589
203.0,-1135.7031633098413,-7484.315515857704
204.0,-2583.9067488823443,-15166.892456780903
205.0,-2132.2263535165703,-11470.413108424389
206.0,-2181.8419068141643,-12920.28487951919
207.0,-2822.203060647923,-16463.159561085966
208.0,-1751.1725928426927,-10167.983675047079
209.0,-2612.907105647006,-16123.364992387971
210.0,-1310.6982401852633,-9656.617122209269
211.0,-14491.956248182676,-29635.033106635623
212.0,-13969.248230362336,-30561.897996099447
213.0,-13489.24767431353,-29859.754382716368
214.0,-14037.871146656173,-30403.728966929375
215.0,-13926.514285681485,-30319.01542461615
