Epoch,Ep_Reward,Cost
0.0,0.0,-1599.2406246291753
1.0,0.0,-3377.6125083377556
2.0,30.0,-2945.329677257228
3.0,0.0,-3029.5205226416
4.0,0.0,-2522.311669255678
5.0,0.0,-2005.6363757680408
6.0,0.0,-3336.600479501355
7.0,0.0,-2733.7097327543247
8.0,120.0,-3073.6859259933085
9.0,30.0,-2851.4606310121385
10.0,0.0,-3109.755315367569
11.0,0.0,-2304.1890046208155
12.0,0.0,-2828.248583232863
13.0,0.0,-1709.3241953947306
14.0,0.0,-845.2562579233993
15.0,0.0,-1804.0614812584454
16.0,0.0,-1570.7151210527898
17.0,0.0,-1111.9584749157834
18.0,0.0,-681.8360509040641
19.0,0.0,-2001.7618899235179
20.0,0.0,-1944.9749552928383
21.0,0.0,-2018.6508927625662
22.0,0.0,-2004.6399971620153
23.0,30.0,-1888.3455442599543
24.0,150.0,-3240.6280891105444
25.0,0.0,-1936.7612858544562
26.0,90.0,-1858.9127969292686
27.0,0.0,-1871.6317710574788
28.0,0.0,-3260.543445902519
29.0,0.0,-2017.0940520961997
30.0,0.0,-2047.8767518380268
31.0,30.0,-1395.8775437079826
32.0,0.0,-3585.003269409731
33.0,0.0,-1458.3802706653294
34.0,90.0,-3517.936333280836
35.0,0.0,-1539.8453242460978
36.0,0.0,-809.0353035839302
37.0,60.0,-2484.517238009073
38.0,0.0,-887.1238538101841
39.0,0.0,-2877.844050950479
40.0,60.0,-1866.973921182688
41.0,0.0,-3027.443142838062
42.0,0.0,-3447.110990047559
43.0,0.0,-3151.78421724096
44.0,0.0,-3319.916612558466
45.0,0.0,-2386.890506576263
46.0,30.0,-2286.0804409921834
47.0,0.0,-2937.6665839665347
48.0,0.0,-3334.2613231462105
49.0,0.0,-2622.8166179096097
50.0,0.0,-2862.5829093703182
51.0,90.0,-115.85436829037056
52.0,0.0,-688.9470827271703
53.0,0.0,-406.2567730829469
54.0,60.0,-1508.8035224241464
55.0,0.0,-1416.7878923230462
56.0,0.0,-101.31838616615138
57.0,30.0,-1509.260310438369
58.0,0.0,-1252.5317814529335
59.0,90.0,-917.0829319700723
60.0,30.0,-545.0211100442999
61.0,0.0,-3587.913880974347
62.0,0.0,-3543.136922763554
63.0,0.0,-3355.1752539425856
64.0,30.0,-3801.228439611878
65.0,0.0,-3541.249901215914
66.0,30.0,-3537.43685576426
67.0,0.0,-3589.7947313150507
68.0,30.0,-3344.0365980647907
69.0,0.0,-2440.3809876890455
70.0,0.0,-3264.0134345516867
71.0,0.0,-1760.9814536729473
72.0,0.0,-3450.70165472103
73.0,0.0,-3425.291841929371
74.0,0.0,-3526.2110616432874
75.0,90.0,-3431.259160533411
76.0,60.0,-2876.368958413993
77.0,0.0,-3334.6409744125776
78.0,30.0,-558.9817958534595
79.0,0.0,-3355.975474607935
80.0,0.0,-3585.6344057518827
81.0,60.0,-3175.0608399453527
82.0,0.0,-1766.013892247152
83.0,90.0,-1095.9545816727857
84.0,150.0,-3105.584381442195
85.0,0.0,-2030.5686158989724
86.0,0.0,-2672.1410179981262
87.0,0.0,-2132.545885801026
88.0,0.0,-2997.837744130247
89.0,0.0,-2703.954278864348
90.0,0.0,-2651.742790757631
91.0,0.0,-2936.225797663464
92.0,0.0,-1008.4049000372444
93.0,30.0,-2444.422282031337
94.0,0.0,-2898.587902067878
95.0,30.0,-3003.550485360933
96.0,0.0,-2632.5032717262857
97.0,0.0,-947.4876752651395
98.0,0.0,-3076.1833335446145
99.0,0.0,-2845.664353816359
100.0,0.0,-2349.1462612031755
101.0,30.0,-1406.949810073108
102.0,420.0,-868.6526006394764
103.0,30.0,-1432.0948591815595
104.0,0.0,-912.0019657270152
105.0,90.0,-268.42819668064277
106.0,0.0,-34.22585228284842
107.0,30.0,-206.43420963249702
108.0,120.0,-1208.5753042923125
109.0,0.0,0.0
110.0,120.0,-370.5156518018738
111.0,0.0,-374.0824697439932
112.0,0.0,-1274.940511761406
113.0,270.0,-90.14076180474547
114.0,150.0,-243.0674654698857
115.0,0.0,0.0
116.0,120.0,-697.9967329789484
117.0,0.0,-191.2594837276795
118.0,0.0,-20.812613838461154
119.0,0.0,-224.32237911371303
120.0,0.0,-1328.301830786122
121.0,60.0,-20.52874533060964
122.0,90.0,-30.0
123.0,60.0,-80.2140117653318
124.0,60.0,-97.02933184605033
125.0,30.0,-98.94116209849753
126.0,60.0,-56.84803414597923
127.0,30.0,-217.47281212143105
128.0,90.0,-30.0
129.0,60.0,-20.0
130.0,0.0,-0.16143832383322843
131.0,60.0,-797.7485821576345
132.0,0.0,-789.0065025261606
133.0,30.0,-582.6381070114757
134.0,0.0,-680.5022095692116
135.0,60.0,-348.8300695771786
136.0,210.0,-391.62950501521584
137.0,90.0,-697.1059937319217
138.0,0.0,-1180.9262186353653
139.0,90.0,-1181.8294562853823
140.0,0.0,-1197.6919555846848
141.0,240.0,-218.6131829981831
142.0,240.0,-80.0
143.0,30.0,-10.0
144.0,60.0,-529.5240791920817
145.0,390.0,-130.77078464933842
146.0,30.0,-132.70744932386765
147.0,240.0,-679.2951400760808
148.0,0.0,-842.3032114701055
149.0,30.0,-11.085172370255417
150.0,30.0,-650.3583833680351
151.0,0.0,0.0
152.0,840.0,-284.27990367715125
153.0,0.0,0.0
154.0,30.0,-505.0081832029927
155.0,0.0,0.0
156.0,390.0,-571.7470095806117
157.0,420.0,-140.0
158.0,210.0,-70.0
159.0,60.0,-20.0
160.0,540.0,-196.11995045774566
161.0,570.0,-190.0
162.0,180.0,-60.0
163.0,60.0,-20.0
164.0,60.0,-20.0
165.0,360.0,-120.0
166.0,0.0,-103.42364473305062
167.0,60.0,-20.0
168.0,0.0,0.0
169.0,60.0,-105.94032032354745
170.0,60.0,-20.0
171.0,0.0,0.0
172.0,60.0,-49.48289407931002
173.0,120.0,-107.3301304821949
174.0,0.0,-1065.41628620497
175.0,0.0,0.0
176.0,0.0,-149.415067963418
177.0,0.0,0.0
178.0,0.0,0.0
179.0,0.0,0.0
180.0,210.0,-105.59097116233158
181.0,0.0,-1934.0850110145145
182.0,90.0,-859.7963554238268
183.0,60.0,-1125.3212314291106
184.0,30.0,-1731.7315726721627
185.0,0.0,-1552.8601465239485
186.0,0.0,-414.10025301580515
187.0,0.0,-790.6559871308953
188.0,0.0,-1905.7883123181082
189.0,0.0,-1967.712749068551
190.0,60.0,-20.0
191.0,0.0,-3534.007258312902
192.0,0.0,-3689.9367630871106
193.0,0.0,-3421.675620994005
194.0,0.0,-3524.1993567287986
195.0,0.0,-3526.0599993883116
196.0,0.0,-3401.41878867608
197.0,60.0,-3442.567967174838
198.0,0.0,-3463.7707129922665
199.0,0.0,-3652.893536433958
200.0,0.0,-3369.477972612583
201.0,0.0,-2334.7311534339965
202.0,0.0,-2057.9304856051535
203.0,0.0,-2168.135453679311
204.0,0.0,-2173.00208940191
205.0,0.0,-2210.5704330377052
206.0,0.0,-2542.942362858372
207.0,0.0,-2542.877091027704
208.0,0.0,-2008.1282186964654
209.0,0.0,-2227.4674467820864
210.0,0.0,-2161.231363706262
211.0,0.0,-1258.8718560674333
212.0,30.0,-1806.6966154397576
213.0,30.0,-1181.1397814947013
214.0,0.0,-1872.381600408534
215.0,0.0,-1071.310208269234
216.0,0.0,-1312.5345664245256
217.0,150.0,-1315.1340722071768
218.0,0.0,-1353.4155827185514
219.0,0.0,-1745.8275084852148
220.0,0.0,-2191.2376116876444
221.0,0.0,-84.7220944124421
222.0,0.0,-68.02887745368696
223.0,0.0,-32.75169476199632
224.0,0.0,-370.6123721168036
225.0,0.0,-21.178515787525676
226.0,60.0,-38.26401100348651
227.0,30.0,-10.0
228.0,60.0,-577.2586937089707
229.0,0.0,0.0
