Epoch,Ep_Reward,Cost
0.0,0.0,-5569.302107159607
1.0,0.0,-7290.638860363188
2.0,60.0,-6636.514603509011
3.0,0.0,-4891.486965922058
4.0,0.0,-5223.708057081038
5.0,30.0,-5118.933729644601
6.0,90.0,-6944.016843021582
7.0,0.0,-6445.380482894047
8.0,30.0,-6424.1435459022105
9.0,60.0,-6311.706736869883
10.0,0.0,-2975.162678710329
11.0,30.0,-3998.064620625101
12.0,0.0,-4289.157428510751
13.0,0.0,-6077.170107046453
14.0,0.0,-5252.623483300013
15.0,30.0,-3401.194922740467
16.0,120.0,-5794.203178606764
17.0,30.0,-3696.4543317836656
18.0,150.0,-4446.045795679478
19.0,0.0,-3846.7339807749768
20.0,60.0,-3571.824211958733
21.0,0.0,-2666.487785448101
22.0,0.0,-3768.456392882867
23.0,0.0,-4683.75440322092
24.0,0.0,-2572.261388492611
25.0,0.0,-3373.167664232998
26.0,0.0,-5121.07835775366
27.0,30.0,-2724.517184416187
28.0,0.0,-1966.200233353046
29.0,0.0,-4009.708619361695
30.0,0.0,-5387.172069743707
31.0,0.0,-5726.228962626199
32.0,0.0,-5108.534758720816
33.0,0.0,-4022.218929964452
34.0,0.0,-5977.773830955951
35.0,0.0,-3774.0106632433562
36.0,0.0,-3959.9793349918637
37.0,0.0,-3844.94225286689
38.0,0.0,-3727.9748044956714
39.0,30.0,-2787.2329381582767
40.0,0.0,-3784.493158980909
41.0,60.0,-1753.9399013252928
42.0,60.0,-5848.021548966353
43.0,0.0,-722.2575928711082
44.0,0.0,-5209.153786940398
45.0,0.0,-3720.1214330104435
46.0,30.0,-6100.098612213054
47.0,0.0,-3665.108687757471
48.0,30.0,-4992.294521367064
49.0,0.0,-3914.73307635372
50.0,60.0,-4255.541611682984
51.0,120.0,-7112.138384120582
52.0,0.0,-7690.132585366004
53.0,0.0,-7745.726455868289
54.0,0.0,-7198.681751965665
55.0,0.0,-7654.893154034917
56.0,0.0,-7085.66580515374
57.0,0.0,-7000.915998110859
58.0,0.0,-7261.744465686244
59.0,0.0,-7586.661913791748
60.0,0.0,-7398.854111626452
61.0,30.0,-3951.2297452306784
62.0,30.0,-5945.9532633518465
63.0,0.0,-5686.313241966493
64.0,0.0,-3772.308762559854
65.0,0.0,-4516.330417425923
66.0,0.0,-4694.243342487094
67.0,30.0,-4002.057303233561
68.0,60.0,-4114.371400840391
69.0,0.0,-3629.196104441544
70.0,0.0,-4480.53243600012
71.0,0.0,-3064.858609119493
72.0,0.0,-3287.6162618433227
73.0,0.0,-3337.270646974522
74.0,60.0,-2290.3261387084517
75.0,0.0,-3590.118501478499
76.0,30.0,-2845.1522823327005
77.0,150.0,-3536.374357905087
78.0,0.0,-4023.010925189091
79.0,0.0,-3933.761592253851
80.0,0.0,-5233.456264610336
81.0,0.0,-6517.96704421657
82.0,150.0,-6750.35045549482
83.0,120.0,-7119.446574964972
84.0,0.0,-6791.6714178208
85.0,90.0,-5259.6527351472705
86.0,0.0,-6525.898988349438
87.0,0.0,-7019.253887227795
88.0,0.0,-5517.704322346407
89.0,0.0,-6470.833965668427
90.0,0.0,-6682.916438049
91.0,0.0,-2924.809992771521
92.0,120.0,-2297.002056854234
93.0,150.0,-3605.8897993321016
94.0,60.0,-5585.418051442097
95.0,60.0,-3237.9059263613085
96.0,30.0,-5801.35734134678
97.0,30.0,-5543.309520455832
98.0,0.0,-4920.9185880427285
99.0,30.0,-4141.824655509684
100.0,0.0,-4949.916028004183
101.0,0.0,-3763.1446259131158
102.0,120.0,-133.2653246549025
103.0,30.0,-2672.00161261205
104.0,0.0,-493.92913447070134
105.0,0.0,-3950.1816057098713
106.0,0.0,-2964.570332278908
107.0,60.0,-2897.448464884486
108.0,180.0,-2799.7897167688284
109.0,0.0,-4081.462013980441
110.0,60.0,-2545.1463920243787
111.0,30.0,-5962.336246583428
112.0,60.0,-6871.588018448704
113.0,210.0,-3310.584604168736
114.0,0.0,-6040.074361165944
115.0,0.0,-6558.858368045446
116.0,0.0,-6701.033130415384
117.0,120.0,-3880.1605594192774
118.0,0.0,-5464.193555762451
119.0,0.0,-7031.889371797115
120.0,0.0,-6849.351311401406
121.0,0.0,-5209.934365718727
122.0,0.0,-5867.821609473426
123.0,0.0,-5811.380131401429
124.0,0.0,-6017.309350526573
125.0,0.0,-5354.978465016665
126.0,0.0,-6333.888172434927
127.0,0.0,-7003.15575949748
128.0,0.0,-4361.5364670478675
129.0,0.0,-6936.928642927236
130.0,0.0,-5358.738551291018
131.0,0.0,-5064.725672355156
132.0,0.0,-6650.7318695596
133.0,0.0,-3681.7538088196607
134.0,30.0,-5464.678176621427
135.0,0.0,-4900.486222726648
136.0,0.0,-4336.800955795739
137.0,0.0,-3760.2080467312203
138.0,0.0,-5320.069412509285
139.0,0.0,-6578.453718937106
140.0,0.0,-5697.444140011525
141.0,0.0,-6283.341059867964
142.0,90.0,-5607.520179162909
143.0,0.0,-2324.200922981955
144.0,0.0,-4104.671274811957
145.0,0.0,-3675.2076469143676
146.0,0.0,-3833.612560286493
147.0,0.0,-4199.2451811771325
148.0,150.0,-6348.184285521433
